Time,Speed
0.0322,300
0.0323,300
0.0324,300
0.0325,300
0.0326,300
0.0327,300
0.0328,300
0.0329,300
0.033,300
0.0331,300
0.0332,300
0.0333,300
0.0334,300
0.0335,300
0.0336,300
0.0337,300
0.0338,300
0.0339,300
0.034,300
0.0341,300
0.0342,300
0.0343,300
0.0344,300
0.0345,300
0.0346,300
0.0347,300
0.0348,300
0.0349,300
0.035,300
0.0351,300
0.0352,300
0.0353,300
0.0354,300
0.0355,300
0.0356,300
0.0357,300
0.0358,300
0.0359,300
0.036,300
0.0361,300
0.0362,300
0.0363,300
0.0364,300
0.0365,300
0.0366,300
0.0367,300
0.0368,300
0.0369,300
0.037,300
0.0371,300
0.0372,300
0.0373,300
0.0374,300
0.0375,300
0.0376,300
0.0377,300
0.0378,300
0.0379,300
0.038,300
0.0381,300
0.0382,300
0.0383,300
0.0384,300
0.0385,300
0.0386,300
0.0387,300
0.0388,300
0.0389,300
0.039,300
0.0391,300
0.0392,300
0.0393,300
0.0394,300
0.0395,300
0.0396,300
0.0397,300
0.0398,300
0.0399,300
0.04,300
0.0401,300
0.0402,300
0.0403,300
0.0404,300
0.0405,300
0.0406,300
0.0407,300
0.0408,300
0.0409,300
0.041,300
0.0411,300
0.0412,300
0.0413,300
0.0414,300
0.0415,300
0.0416,300
0.0417,300
0.0418,300
0.0419,300
0.042,300
0.0421,300
0.0422,300
0.0423,300
0.0424,300
0.0425,300
0.0426,300
0.0427,300
0.0428,300
0.0429,300
0.043,300
0.0431,300
0.0432,300
0.0433,300
0.0434,300
0.0435,300
0.0436,300
0.0437,300
0.0438,300
0.0439,300
0.044,300
0.0441,300
0.0442,300
0.0443,300
0.0444,300
0.0445,300
0.0446,300
0.0447,300
0.0448,300
0.0449,300
0.045,300
0.0451,300
0.0452,300
0.0453,300
0.0454,300
0.0455,300
0.0456,300
0.0457,300
0.0458,300
0.0459,300
0.046,300
0.0461,300
0.0462,300
0.0463,300
0.0464,300
0.0465,300
0.0466,300
0.0467,300
0.0468,300
0.0469,300
0.047,300
0.0471,300
0.0472,300
0.0473,300
0.0474,300
0.0475,300
0.0476,300
0.0477,300
0.0478,300
0.0479,300
0.048,300
0.0481,300
0.0482,300
0.0483,300
0.0484,300
0.0485,300
0.0486,300
0.0487,300
0.0488,300
0.0489,300
0.049,300
0.0491,300
0.0492,300
0.0493,300
0.0494,300
0.0495,300
0.0496,300
0.0497,300
0.0498,300
0.0499,300
0.05,300
